Locutor,texto_procesado,Sarcasmo,matches,corrections,corrected,tokens,lemma,pos,sents,ner,token_count,unique_token_count,nostop_count,sent_count,ner_count,comma,question,exclamation,quotation,organization,caps,person,location,money,time,date,percent,noun,adj,pron,verb,cconj,adv,det,propn,num,part,intj,processed_text,Variable,Variable,Variable
archer,"No, era por saber si tenía que llevar un saco con el símbolo del dólar",1,[],0,"No, era por saber si tenía que llevar un saco con el símbolo del dólar","['No', ',', 'era', 'por', 'saber', 'si', 'tenía', 'que', 'llevar', 'un', 'saco', 'con', 'el', 'símbolo', 'del', 'dólar']","['no', ',', 'ser', 'por', 'saber', 'si', 'tener', 'que', 'llevar', 'uno', 'saco', 'con', 'el', 'símbolo', 'del', 'dólar']","['ADV', 'PUNCT', 'AUX', 'ADP', 'VERB', 'SCONJ', 'VERB', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']","['No, era por saber si tenía que llevar un saco con el símbolo del dólar']",[],16,16,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,2,0,0,0,0,saber tener llevar,x_exclamation_2,x_exclamation_x_noun,x_comma_div_adj
archer,"A quién le importa? No, lo pregunto de verdad",0,"[Match({'ruleId': 'ES_QUESTION_MARK', 'message': 'Símbolo desparejado: Parece que falta un ‘¿’', 'replacements': ['¿A'], 'offsetInContext': 0, 'context': 'A quién le importa? No, lo pregunto de ve...', 'offset': 0, 'errorLength': 1, 'category': 'TYPOGRAPHY', 'ruleIssueType': 'typographical', 'sentence': 'A quién le importa?'})]",1,"¿A quién le importa? No, lo pregunto de verdad","['¿', 'A', 'quién', 'le', 'importa', '?', 'No', ',', 'lo', 'pregunto', 'de', 'verdad']","['¿', 'A', 'quién', 'él', 'importar', '?', 'no', ',', 'él', 'preguntar', 'de', 'verdad']","['PUNCT', 'ADP', 'PRON', 'PRON', 'VERB', 'PUNCT', 'ADV', 'PUNCT', 'PRON', 'VERB', 'ADP', 'NOUN']","['¿A quién le importa?', 'No, lo pregunto de verdad']",['¿A'],12,12,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,quien verdad,x_noun_2,x_nostop_count_x_intj,x_adv_div_propn
archer,Pero voy a dar por hecho que ha pedido refuerzos,0,[],0,Pero voy a dar por hecho que ha pedido refuerzos,"['Pero', 'voy', 'a', 'dar', 'por', 'hecho', 'que', 'ha', 'pedido', 'refuerzos']","['pero', 'ir', 'a', 'dar', 'por', 'hecho', 'que', 'haber', 'pedir', 'refuerzo']","['CCONJ', 'AUX', 'ADP', 'VERB', 'ADP', 'NOUN', 'SCONJ', 'AUX', 'VERB', 'NOUN']",['Pero voy a dar por hecho que ha pedido refuerzos'],[],10,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,haber pedir,x_sent_count_2,x_noun_x_cconj,x_token_count_div_propn
malory,¿Por qué no te callas? Tengo que pensar,0,[],0,¿Por qué no te callas? Tengo que pensar,"['¿', 'Por', 'qué', 'no', 'te', 'callas', '?', 'Tengo', 'que', 'pensar']","['¿', 'Por', 'qué', 'no', 'tú', 'calla', '?', 'tener', 'que', 'pensar']","['PUNCT', 'ADP', 'PRON', 'ADV', 'PRON', 'NOUN', 'PUNCT', 'VERB', 'SCONJ', 'VERB']",['¿Por qué no te callas? Tengo que pensar'],['Tengo'],10,10,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,tener pensar,x_cconj_2,x_unique_token_count_x_noun,x_noun_div_quotation
slater,"Sí, sospechábamos un poco",0,[],0,"Sí, sospechábamos un poco","['Sí', ',', 'sospechábamos', 'un', 'poco']","['sí', ',', 'sospechár', 'uno', 'poco']","['INTJ', 'PUNCT', 'VERB', 'DET', 'PRON']","['Sí, sospechábamos un poco']",[],5,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,,x_token_count_2,x_nostop_count_x_propn,x_comma_div_cconj
kyle,Esto es ridículo. ¿En serio saldrémos a jugar contra los Norths así vestidos?,0,"[Match({'ruleId': 'MORFOLOGIK_RULE_ES', 'message': 'Se ha encontrado un posible error ortográfico.', 'replacements': ['saldremos', 'valdremos', 'salaremos', 'saldaremos', 'saldemos', 'saldáremos', 'saláremos', 'saldré mos'], 'offsetInContext': 28, 'context': 'Esto es ridículo. ¿En serio saldrémos a jugar contra los Norths así vestidos?...', 'offset': 28, 'errorLength': 9, 'category': 'TYPOS', 'ruleIssueType': 'misspelling', 'sentence': '¿En serio saldrémos a jugar contra los Norths así vestidos?'}), Match({'ruleId': 'MORFOLOGIK_RULE_ES', 'message': 'Se ha encontrado un posible error ortográfico.', 'replacements': ['North', 'Nortes'], 'offsetInContext': 43, 'context': '... ¿En serio saldrémos a jugar contra los Norths así vestidos?', 'offset': 57, 'errorLength': 6, 'category': 'TYPOS', 'ruleIssueType': 'misspelling', 'sentence': '¿En serio saldrémos a jugar contra los Norths así vestidos?'})]",2,Esto es ridículo. ¿En serio saldremos a jugar contra los North así vestidos?,"['Esto', 'es', 'ridículo', '.', '¿', 'En', 'serio', 'saldremos', 'a', 'jugar', 'contra', 'los', 'North', 'así', 'vestidos', '?']","['este', 'ser', 'ridículo', '.', '¿', 'En', 'serio', 'salir', 'a', 'jugar', 'contra', 'el', 'North', 'así', 'vestido', '?']","['PRON', 'AUX', 'ADJ', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'VERB', 'ADP', 'VERB', 'ADP', 'DET', 'PROPN', 'ADV', 'ADJ', 'PUNCT']","['Esto es ridículo.', '¿En serio saldremos a jugar contra los North así vestidos?']",['North'],16,16,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,1,1,0,0,0,serio salir jugar,,,
archer,Francamente no,0,[],0,Francamente no,"['Francamente', 'no']","['francamente', 'no']","['ADV', 'ADV']",['Francamente no'],[],2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,
ray,"David, Key, Keith, Kenny",0,"[Match({'ruleId': 'MORFOLOGIK_RULE_ES', 'message': 'Se ha encontrado un posible error ortográfico.', 'replacements': ['Rey', 'Ley', 'Bey', 'Kai', 'Kelly', 'Ken', 'Kev', 'Mey', 'Wei', 'Dey'], 'offsetInContext': 7, 'context': 'David, Key, Keith, Kenny', 'offset': 7, 'errorLength': 3, 'category': 'TYPOS', 'ruleIssueType': 'misspelling', 'sentence': 'David, Key, Keith, Kenny'}), Match({'ruleId': 'MORFOLOGIK_RULE_ES', 'message': 'Se ha encontrado un posible error ortográfico.', 'replacements': ['Keita'], 'offsetInContext': 12, 'context': 'David, Key, Keith, Kenny', 'offset': 12, 'errorLength': 5, 'category': 'TYPOS', 'ruleIssueType': 'misspelling', 'sentence': 'David, Key, Keith, Kenny'}), Match({'ruleId': 'MORFOLOGIK_RULE_ES', 'message': 'Se ha encontrado un posible error ortográfico.', 'replacements': ['Benny', 'Jenny', 'Yenny'], 'offsetInContext': 19, 'context': 'David, Key, Keith, Kenny', 'offset': 19, 'errorLength': 5, 'category': 'TYPOS', 'ruleIssueType': 'misspelling', 'sentence': 'David, Key, Keith, Kenny'})]",3,"David, Rey, Keita, Benny","['David', ',', 'Rey', ',', 'Keita', ',', 'Benny']","['David', ',', 'Rey', ',', 'Keita', ',', 'Benny']","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN']","['David, Rey, Keita, Benny']","['David', 'Rey', 'Keita', 'Benny']",7,5,7,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,
kyle,"""Y si lo llevas a uno de esos lugares de empeño. En cada dos cuadras hay un sujeto con un cartel que dice: """"compramos oro"""". Mucha gente lo hace""",0,"[Match({'ruleId': 'INCORRECT_SPACES', 'message': 'Sobra un espacio.', 'replacements': [':""'], 'offsetInContext': 43, 'context': '...ras hay un sujeto con un cartel que dice: """"compramos oro"""". Mucha gente lo hace""', 'offset': 105, 'errorLength': 3, 'category': 'TYPOGRAPHY', 'ruleIssueType': 'typographical', 'sentence': 'En cada dos cuadras hay un sujeto con un cartel que dice: """"compramos oro"""".'})]",1,"""Y si lo llevas a uno de esos lugares de empeño. En cada dos cuadras hay un sujeto con un cartel que dice:""""compramos oro"""". Mucha gente lo hace""","['""', 'Y', 'si', 'lo', 'llevas', 'a', 'uno', 'de', 'esos', 'lugares', 'de', 'empeño', '.', 'En', 'cada', 'dos', 'cuadras', 'hay', 'un', 'sujeto', 'con', 'un', 'cartel', 'que', 'dice:""""compramos', 'oro', '""', '""', '.', 'Mucha', 'gente', 'lo', 'hace', '""']","['""', 'Y', 'si', 'él', 'llevar', 'a', 'uno', 'de', 'ese', 'lugar', 'de', 'empeño', '.', 'en', 'cada', 'dos', 'cuadra', 'haber', 'uno', 'sujeto', 'con', 'uno', 'cartel', 'que', 'dice:""""compramo', 'oro', '""', '""', '.', 'mucho', 'gente', 'él', 'hacer', '""']","['PUNCT', 'CCONJ', 'SCONJ', 'PRON', 'VERB', 'ADP', 'PRON', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NUM', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PRON', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT']","['""Y si lo llevas a uno de esos lugares de empeño.', 'En cada dos cuadras hay un sujeto con un cartel que dice:""""compramos oro"""".', 'Mucha gente lo hace""']",['Mucha gente lo hace'],34,27,18,3,1,0,0,0,6,0,0,0,0,0,0,0,0,7,1,4,2,1,0,5,0,1,0,0,llevar lugar haber mucho gente,,,
archer,"No, Lana. ¡qué va!",0,"[Match({'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'Esta frase no empieza con mayúscula.', 'replacements': ['Qué'], 'offsetInContext': 11, 'context': 'No, Lana. ¡qué va!', 'offset': 11, 'errorLength': 3, 'category': 'CASING', 'ruleIssueType': 'typographical', 'sentence': '¡qué va!'})]",1,"No, Lana. ¡Qué va!","['No', ',', 'Lana', '.', '¡', 'Qué', 'va', '!']","['no', ',', 'Lana', '.', '¡', 'qué', 'ir', '!']","['ADV', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'PUNCT']","['No, Lana.', '¡Qué va!']",['Lana'],8,8,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,,,
